,salary_min,salary_max,currency,vacancy,link,source
115,50000.0,,руб.,Кассир (ТЦ Колумбус),https://hh.ru/vacancy/49686383?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
116,,43000.0,руб.,Продавец-кассир (ТРЦ БраVо!),https://hh.ru/vacancy/53006492?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
117,65000.0,65000.0,руб.,Кассир-операционист,https://hh.ru/vacancy/51965304?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
118,65000.0,75000.0,руб.,Продавец-кассир,https://hh.ru/vacancy/52467527?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
119,55000.0,70000.0,руб.,Кассир Бариста,https://hh.ru/vacancy/52059868?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
120,50600.0,58100.0,руб.,Кассир-операционист,https://hh.ru/vacancy/51785226?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
121,51000.0,,руб.,Кассир в кафе Гурманика,https://hh.ru/vacancy/42288230?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
122,50000.0,,руб.,Бариста / Администратор-кассир,https://hh.ru/vacancy/52253625?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
123,40000.0,,руб.,Кассир в техцентр,https://hh.ru/vacancy/52008978?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
124,50000.0,90000.0,руб.,Продавец-кассир,https://hh.ru/vacancy/52394725?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
125,19200.0,50000.0,руб.,Кассир/Кассир выходного дня,https://hh.ru/vacancy/52497614?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
126,40000.0,,руб.,Кассир в столовую,https://hh.ru/vacancy/52992994?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
127,50000.0,,руб.,Продавец-кассир в бутик Patrizia Pepe (ТРЦ Павелецкая Плаза),https://hh.ru/vacancy/52371413?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
